step,Train Loss
99,0.34844
199,0.16376
299,0.13799
399,0.13834
499,0.1664
599,0.1847
699,0.11049
799,0.14795
899,0.14368
999,0.18024
1099,0.1778
1199,0.12233
1299,0.13998
1399,0.14335
1499,0.12819
1599,0.13402
1699,0.13459
1799,0.11681
1899,0.09997
1999,0.15086
2099,0.1725
2199,0.1138
2299,0.1097
2399,0.11496
2499,0.16441
2599,0.165
2699,0.11046
2799,0.06854
2899,0.13204
2999,0.13951
3099,0.16282
3199,0.12421
3299,0.13949
3399,0.11989
3499,0.12586
3599,0.12857
3699,0.16198
3799,0.1387
3899,0.12978
3999,0.11287
4099,0.10948
4199,0.14639
4299,0.13622
4399,0.15361
4499,0.14694
4599,0.12998
4699,0.12999
4799,0.13337
4899,0.11994
4999,0.15416
